cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,fused,tflops,bw,_tag
256,1,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,1,0,27.4383,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_flat_vs_ps_silu_1x128E,0.0%,0.0,,0.0%,27.4383,1,1,1,2.29,58699.66,
256,2,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,1,0,28.7441,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_flat_vs_ps_silu_1x128E,0.0%,0.0,,0.0%,28.7441,1,1,1,4.38,56033.24,
256,4,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,1,0,33.3477,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_flat_vs_ps_silu_1x128E,0.0%,0.0,,0.0%,33.3477,1,1,1,7.55,48298.3,
256,8,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,1,0,54.1632,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_flat_vs_ps_silu_1x256E,0.0%,0.0,,0.0%,54.1632,1,1,1,9.29,29737.2,
256,16,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,1,0,93.4505,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_flat_vs_ps_silu_1x128E,0.0%,0.0,,0.0%,93.4505,1,1,1,10.77,17235.98,
256,32,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,148.2115,_ZN5aiter47fmoe_bf16_blockscaleBf16_g1u1_vs_ps_silu_32x256E,0.0%,0.0,,0.0%,148.2115,1,1,0,13.58,10868.32,
256,64,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,218.6945,_ZN5aiter48fmoe_bf16_blockscaleBf16_g1u1_vs_pf2_silu_16x128E,0.0%,0.0,,0.0%,218.6945,1,1,0,18.41,7366.47,
256,128,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,278.3974,_ZN5aiter47fmoe_bf16_blockscaleBf16_g1u1_vs_ps_silu_32x256E,0.0%,0.0,,0.0%,278.3974,1,1,0,28.93,5788.13,
256,256,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,315.1512,_ZN5aiter47fmoe_bf16_blockscaleBf16_g1u1_vs_ps_silu_32x256E,0.0%,0.0,,0.0%,315.1512,1,1,0,51.11,5115.59,
256,512,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,326.3176,_ZN5aiter47fmoe_bf16_blockscaleBf16_g1u1_vs_ps_silu_32x256E,0.0%,0.0,,0.0%,326.3176,1,1,0,98.71,4945.36,
256,1024,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,332.8045,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,332.8045,1,0,0,193.58,4858.42,
256,2048,2048,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,372.4883,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,372.4883,1,0,0,345.91,4357.71,
